Date,Hours,Price (EUR/MWh),Traded volumes (MWh)
2012.01.12.,H4,"25,96","782,90"
2012.01.12.,H5,"28,10","791,50"
2012.01.12.,H6,"39,99","711,10"
2012.01.12.,H7,"43,05","696,00"
2012.01.12.,H8,"75,01","598,60"
2012.01.12.,H9,"55,51","530,30"
2012.01.12.,H10,"79,70","549,60"
2012.01.12.,H11,"79,98","551,50"
2012.01.12.,H12,"79,96","555,10"
2012.01.12.,H13,"100,00","525,70"
2012.01.12.,H14,"92,50","579,70"
2012.01.12.,H15,"79,82","556,90"
2012.01.12.,H16,"100,00","519,10"
2012.01.12.,H17,"128,00","539,20"
2012.01.12.,H18,"128,00","469,30"
2012.01.12.,H19,"128,00","527,70"
2012.01.12.,H20,"120,01","540,50"
2012.01.12.,H21,"92,50","762,10"
2012.01.12.,H22,"78,21","741,70"
2012.01.12.,H23,"66,01","801,30"
2012.01.12.,H24,"64,99","723,30"
2012.01.13.,H1,"37,49","830,60"
2012.01.13.,H2,"29,51","802,50"
2012.01.13.,H3,"28,27","778,10"
2012.01.13.,H4,"25,87","926,90"
2012.01.13.,H5,"28,95","832,10"
2012.01.13.,H6,"35,26","713,10"
2012.01.13.,H7,"48,00","779,10"
2012.01.13.,H8,"66,00","626,10"
2012.01.13.,H9,"55,87","662,80"
2012.01.13.,H10,"55,00","659,10"
2012.01.13.,H11,"53,00","607,90"
2012.01.13.,H12,"52,31","635,60"
2012.01.13.,H13,"52,30","610,90"
2012.01.13.,H14,"52,30","635,40"
2012.01.13.,H15,"49,31","655,20"
2012.01.13.,H16,"51,01","665,50"
2012.01.13.,H17,"68,34","474,70"
2012.01.13.,H18,"78,30","444,50"
2012.01.13.,H19,"64,89","541,80"
2012.01.13.,H20,"56,94","508,50"
2012.01.13.,H21,"61,50","559,00"
2012.01.13.,H22,"66,01","722,00"
2012.01.13.,H23,"66,01","739,00"
2012.01.13.,H24,"44,40","667,40"
2012.01.14.,H1,"35,78","587,00"
2012.01.14.,H2,"31,31","573,20"
2012.01.14.,H3,"29,85","519,70"
2012.01.14.,H4,"25,37","658,60"
2012.01.14.,H5,"26,07","609,50"
2012.01.14.,H6,"29,51","557,00"
2012.01.14.,H7,"32,17","760,00"
2012.01.14.,H8,"39,77","646,30"
2012.01.14.,H9,"42,85","585,30"
2012.01.14.,H10,"49,00","553,30"
2012.01.14.,H11,"52,30","525,30"
2012.01.14.,H12,"52,50","524,20"
2012.01.14.,H13,"50,01","474,90"
2012.01.14.,H14,"49,30","458,20"
2012.01.14.,H15,"45,48","531,90"
2012.01.14.,H16,"46,00","523,70"
2012.01.14.,H17,"52,01","489,50"
2012.01.14.,H18,"60,00","448,90"
2012.01.14.,H19,"61,17","487,90"
2012.01.14.,H20,"57,51","429,40"
2012.01.14.,H21,"55,80","440,60"
2012.01.14.,H22,"49,01","551,00"
2012.01.14.,H23,"52,51","659,90"
2012.01.14.,H24,"45,01","626,30"
2012.01.15.,H1,"45,00","528,70"
2012.01.15.,H2,"36,80","480,80"
2012.01.15.,H3,"32,13","487,40"
2012.01.15.,H4,"29,55","509,40"
2012.01.15.,H5,"29,64","525,00"
2012.01.15.,H6,"29,37","503,00"
2012.01.15.,H7,"30,56","691,50"
2012.01.15.,H8,"34,30","778,00"
2012.01.15.,H9,"40,52","703,50"
2012.01.15.,H10,"61,25","669,00"
2012.01.15.,H11,"57,50","579,30"
2012.01.15.,H12,"51,07","533,40"
2012.01.15.,H13,"50,01","490,40"
2012.01.15.,H14,"45,03","371,60"
2012.01.15.,H15,"42,67","426,20"
2012.01.15.,H16,"42,07","391,80"
2012.01.15.,H17,"49,01","416,90"
2012.01.15.,H18,"57,01","367,10"
2012.01.15.,H19,"62,02","382,30"
2012.01.15.,H20,"63,48","433,20"
2012.01.15.,H21,"55,96","347,40"
2012.01.15.,H22,"49,96","343,10"
2012.01.15.,H23,"56,64","553,80"
2012.01.15.,H24,"44,44","618,40"
2012.01.16.,H1,"38,33","936,20"
2012.01.16.,H2,"35,20","982,00"
2012.01.16.,H3,"32,50","956,00"
2012.01.16.,H4,"32,20","874,90"
2012.01.16.,H5,"32,63","870,90"
2012.01.16.,H6,"40,63","691,10"
2012.01.16.,H7,"48,64","704,70"
2012.01.16.,H8,"57,64","720,60"
2012.01.16.,H9,"62,05","737,00"
2012.01.16.,H10,"59,51","677,50"
2012.01.16.,H11,"57,75","666,80"
2012.01.16.,H12,"57,45","595,30"
2012.01.16.,H13,"56,00","578,80"
2012.01.16.,H14,"55,61","635,10"
2012.01.16.,H15,"55,01","629,80"
2012.01.16.,H16,"55,52","681,50"
2012.01.16.,H17,"64,12","625,60"
2012.01.16.,H18,"85,76","651,30"
2012.01.16.,H19,"80,50","659,10"
2012.01.16.,H20,"66,50","631,00"
2012.01.16.,H21,"58,01","673,60"
2012.01.16.,H22,"52,21","752,80"
2012.01.16.,H23,"50,44","725,90"
2012.01.16.,H24,"45,71","709,80"
2012.01.17.,H1,"43,52","696,40"
2012.01.17.,H2,"40,23","773,10"
2012.01.17.,H3,"38,53","819,10"
2012.01.17.,H4,"36,85","816,40"
2012.01.17.,H5,"37,51","823,90"
2012.01.17.,H6,"44,93","769,80"
2012.01.17.,H7,"48,00","685,80"
2012.01.17.,H8,"60,00","699,30"
2012.01.17.,H9,"63,63","619,70"
2012.01.17.,H10,"61,97","627,60"
2012.01.17.,H11,"60,21","631,80"
2012.01.17.,H12,"59,68","613,20"
2012.01.17.,H13,"58,37","628,80"
2012.01.17.,H14,"56,75","656,20"
2012.01.17.,H15,"55,80","642,90"
2012.01.17.,H16,"59,01","635,00"
2012.01.17.,H17,"105,01","673,70"
2012.01.17.,H18,"111,05","581,60"
2012.01.17.,H19,"90,01","665,20"
2012.01.17.,H20,"90,01","659,00"
2012.01.17.,H21,"59,16","704,80"
2012.01.17.,H22,"49,01","676,80"
2012.01.17.,H23,"49,00","661,60"
2012.01.17.,H24,"45,01","647,40"
2012.01.18.,H1,"44,05","687,80"
2012.01.18.,H2,"41,02","753,00"
2012.01.18.,H3,"39,85","734,30"
2012.01.18.,H4,"38,05","743,80"
